order_id,customer_id,product_id,product_name,category,producer_id,quantity,price,order_date,delivery_date,order_total,status
28,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,30/09/2025,02/10/2025,13.7,delivered
29,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,07/10/2025,09/10/2025,17.4,delivered
29,11,48,Lemon Curd (300g),preserves,9,1,4,07/10/2025,09/10/2025,17.4,delivered
29,11,18,Blackberries (200g),fruit,10,2,3.2,07/10/2025,09/10/2025,17.4,delivered
30,11,18,Blackberries (200g),fruit,10,1,3.2,12/10/2025,14/10/2025,17.7,delivered
30,11,48,Lemon Curd (300g),preserves,9,1,4,12/10/2025,14/10/2025,17.7,delivered
30,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,12/10/2025,14/10/2025,17.7,delivered
30,11,14,Cox Apples (1kg),fruit,7,2,3.5,12/10/2025,14/10/2025,17.7,delivered
31,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,18/10/2025,20/10/2025,21.7,delivered
31,11,48,Lemon Curd (300g),preserves,9,2,4,18/10/2025,20/10/2025,21.7,delivered
31,11,18,Blackberries (200g),fruit,10,1,3.2,18/10/2025,20/10/2025,21.7,delivered
32,11,18,Blackberries (200g),fruit,10,2,3.2,26/10/2025,28/10/2025,24.9,delivered
32,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,26/10/2025,28/10/2025,24.9,delivered
32,11,48,Lemon Curd (300g),preserves,9,2,4,26/10/2025,28/10/2025,24.9,delivered
33,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,03/11/2025,05/11/2025,7,delivered
34,11,48,Lemon Curd (300g),preserves,9,3,4,07/11/2025,09/11/2025,22.5,delivered
34,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,07/11/2025,09/11/2025,22.5,delivered
35,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,14/11/2025,16/11/2025,11,delivered
35,11,48,Lemon Curd (300g),preserves,9,1,4,14/11/2025,16/11/2025,11,delivered
36,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,20/11/2025,22/11/2025,11.5,delivered
36,11,48,Lemon Curd (300g),preserves,9,2,4,20/11/2025,22/11/2025,11.5,delivered
37,11,48,Lemon Curd (300g),preserves,9,2,4,28/11/2025,30/11/2025,11.5,delivered
37,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,28/11/2025,30/11/2025,11.5,delivered
38,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,06/12/2025,08/12/2025,30.2,delivered
38,11,48,Lemon Curd (300g),preserves,9,2,4,06/12/2025,08/12/2025,30.2,delivered
38,11,15,Conference Pears (4 pack),fruit,7,4,3.8,06/12/2025,08/12/2025,30.2,delivered
39,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,16/12/2025,18/12/2025,11,delivered
39,11,48,Lemon Curd (300g),preserves,9,1,4,16/12/2025,18/12/2025,11,delivered
40,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,26/12/2025,28/12/2025,24.5,delivered
40,11,48,Lemon Curd (300g),preserves,9,1,4,26/12/2025,28/12/2025,24.5,delivered
40,11,54,Christmas Pudding,seasonal,6,2,8.5,26/12/2025,28/12/2025,24.5,delivered
41,11,48,Lemon Curd (300g),preserves,9,1,4,01/01/2026,03/01/2026,14.5,delivered
41,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,01/01/2026,03/01/2026,14.5,delivered
42,11,48,Lemon Curd (300g),preserves,9,1,4,10/01/2026,12/01/2026,14.5,delivered
42,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,10/01/2026,12/01/2026,14.5,delivered
43,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,16/01/2026,18/01/2026,15,delivered
43,11,48,Lemon Curd (300g),preserves,9,2,4,16/01/2026,18/01/2026,15,delivered
44,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,26/01/2026,28/01/2026,22.5,delivered
44,11,48,Lemon Curd (300g),preserves,9,3,4,26/01/2026,28/01/2026,22.5,delivered
45,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,05/02/2026,07/02/2026,10.5,delivered
46,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,12/02/2026,14/02/2026,18.5,delivered
46,11,48,Lemon Curd (300g),preserves,9,2,4,12/02/2026,14/02/2026,18.5,delivered
47,11,48,Lemon Curd (300g),preserves,9,3,4,20/02/2026,22/02/2026,22.5,delivered
47,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,20/02/2026,22/02/2026,22.5,delivered
48,11,48,Lemon Curd (300g),preserves,9,1,4,24/02/2026,26/02/2026,7.5,delivered
48,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,24/02/2026,26/02/2026,7.5,delivered
49,11,48,Lemon Curd (300g),preserves,9,3,4,03/03/2026,05/03/2026,19,delivered
49,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,03/03/2026,05/03/2026,19,delivered
50,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,12/03/2026,14/03/2026,3.5,delivered
51,11,48,Lemon Curd (300g),preserves,9,3,4,16/03/2026,18/03/2026,17,delivered
51,11,28,Double Cream (300ml),dairy,3,2,2.5,16/03/2026,18/03/2026,17,delivered
52,11,48,Lemon Curd (300g),preserves,9,1,4,22/03/2026,24/03/2026,14.5,delivered
52,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,22/03/2026,24/03/2026,14.5,delivered
53,12,28,Double Cream (300ml),dairy,3,2,2.5,03/04/2025,05/04/2025,7.8,delivered
53,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,03/04/2025,05/04/2025,7.8,delivered
54,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,12/04/2025,14/04/2025,18.4,delivered
54,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,12/04/2025,14/04/2025,18.4,delivered
55,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,21/04/2025,23/04/2025,18.1,delivered
55,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,21/04/2025,23/04/2025,18.1,delivered
55,12,28,Double Cream (300ml),dairy,3,1,2.5,21/04/2025,23/04/2025,18.1,delivered
56,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,28/04/2025,30/04/2025,17.4,delivered
56,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,28/04/2025,30/04/2025,17.4,delivered
56,12,24,Whole Milk (2 litres),dairy,3,4,2.4,28/04/2025,30/04/2025,17.4,delivered
57,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,03/05/2025,05/05/2025,15.6,delivered
57,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,03/05/2025,05/05/2025,15.6,delivered
58,12,28,Double Cream (300ml),dairy,3,1,2.5,08/05/2025,10/05/2025,5.3,delivered
58,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,08/05/2025,10/05/2025,5.3,delivered
59,12,28,Double Cream (300ml),dairy,3,2,2.5,16/05/2025,18/05/2025,17.8,delivered
59,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,16/05/2025,18/05/2025,17.8,delivered
59,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,16/05/2025,18/05/2025,17.8,delivered
60,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,24/05/2025,26/05/2025,23.4,delivered
60,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,24/05/2025,26/05/2025,23.4,delivered
60,12,28,Double Cream (300ml),dairy,3,2,2.5,24/05/2025,26/05/2025,23.4,delivered
61,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,02/06/2025,04/06/2025,12.5,delivered
61,12,28,Double Cream (300ml),dairy,3,3,2.5,02/06/2025,04/06/2025,12.5,delivered
62,12,28,Double Cream (300ml),dairy,3,2,2.5,06/06/2025,08/06/2025,16.4,delivered
62,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,06/06/2025,08/06/2025,16.4,delivered
62,12,56,Spring Onions (bunch),seasonal,5,2,1.5,06/06/2025,08/06/2025,16.4,delivered
63,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,16/06/2025,18/06/2025,34.9,delivered
63,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,16/06/2025,18/06/2025,34.9,delivered
63,12,28,Double Cream (300ml),dairy,3,3,2.5,16/06/2025,18/06/2025,34.9,delivered
63,12,14,Cox Apples (1kg),fruit,7,4,3.5,16/06/2025,18/06/2025,34.9,delivered
64,12,28,Double Cream (300ml),dairy,3,3,2.5,26/06/2025,28/06/2025,18.1,delivered
64,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,26/06/2025,28/06/2025,18.1,delivered
64,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,26/06/2025,28/06/2025,18.1,delivered
65,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,30/06/2025,02/07/2025,17.5,delivered
65,12,28,Double Cream (300ml),dairy,3,3,2.5,30/06/2025,02/07/2025,17.5,delivered
66,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,04/07/2025,06/07/2025,21.9,delivered
66,12,28,Double Cream (300ml),dairy,3,3,2.5,04/07/2025,06/07/2025,21.9,delivered
66,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,04/07/2025,06/07/2025,21.9,delivered
66,12,6,Courgettes (500g),vegetables,5,3,2.2,04/07/2025,06/07/2025,21.9,delivered
67,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,13/07/2025,15/07/2025,10.6,delivered
67,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,13/07/2025,15/07/2025,10.6,delivered
68,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,19/07/2025,21/07/2025,18.1,delivered
68,12,28,Double Cream (300ml),dairy,3,1,2.5,19/07/2025,21/07/2025,18.1,delivered
68,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,19/07/2025,21/07/2025,18.1,delivered
69,12,28,Double Cream (300ml),dairy,3,2,2.5,25/07/2025,27/07/2025,10,delivered
69,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,25/07/2025,27/07/2025,10,delivered
70,12,28,Double Cream (300ml),dairy,3,3,2.5,04/08/2025,06/08/2025,17.5,delivered
70,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,04/08/2025,06/08/2025,17.5,delivered
71,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,08/08/2025,10/08/2025,10.8,delivered
71,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,08/08/2025,10/08/2025,10.8,delivered
71,12,56,Spring Onions (bunch),seasonal,5,2,1.5,08/08/2025,10/08/2025,10.8,delivered
72,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,13/08/2025,15/08/2025,10,delivered
72,12,28,Double Cream (300ml),dairy,3,2,2.5,13/08/2025,15/08/2025,10,delivered
73,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,19/08/2025,21/08/2025,16.8,delivered
73,12,28,Double Cream (300ml),dairy,3,3,2.5,19/08/2025,21/08/2025,16.8,delivered
73,12,44,Honey (340g),preserves,10,1,6.5,19/08/2025,21/08/2025,16.8,delivered
74,12,28,Double Cream (300ml),dairy,3,2,2.5,23/08/2025,25/08/2025,33.6,delivered
74,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,23/08/2025,25/08/2025,33.6,delivered
74,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,23/08/2025,25/08/2025,33.6,delivered
74,12,30,Goats Cheese (150g),dairy,8,4,4.5,23/08/2025,25/08/2025,33.6,delivered
75,12,28,Double Cream (300ml),dairy,3,1,2.5,28/08/2025,30/08/2025,10.3,delivered
75,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,28/08/2025,30/08/2025,10.3,delivered
75,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,28/08/2025,30/08/2025,10.3,delivered
76,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,02/09/2025,04/09/2025,24.9,delivered
76,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,02/09/2025,04/09/2025,24.9,delivered
76,12,28,Double Cream (300ml),dairy,3,1,2.5,02/09/2025,04/09/2025,24.9,delivered
76,12,43,Seville Marmalade (340g),preserves,9,2,4.5,02/09/2025,04/09/2025,24.9,delivered
77,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,09/09/2025,11/09/2025,47.4,delivered
77,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,09/09/2025,11/09/2025,47.4,delivered
77,12,28,Double Cream (300ml),dairy,3,2,2.5,09/09/2025,11/09/2025,47.4,delivered
77,12,59,Damson Gin (200ml),seasonal,10,2,12,09/09/2025,11/09/2025,47.4,delivered
78,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,17/09/2025,19/09/2025,12.8,delivered
78,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,17/09/2025,19/09/2025,12.8,delivered
79,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,21/09/2025,23/09/2025,20.6,delivered
79,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,21/09/2025,23/09/2025,20.6,delivered
79,12,28,Double Cream (300ml),dairy,3,2,2.5,21/09/2025,23/09/2025,20.6,delivered
80,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,28/09/2025,30/09/2025,12.8,delivered
80,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,28/09/2025,30/09/2025,12.8,delivered
80,12,28,Double Cream (300ml),dairy,3,2,2.5,28/09/2025,30/09/2025,12.8,delivered
81,12,28,Double Cream (300ml),dairy,3,2,2.5,05/10/2025,07/10/2025,12.8,delivered
81,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,05/10/2025,07/10/2025,12.8,delivered
81,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,05/10/2025,07/10/2025,12.8,delivered
82,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,09/10/2025,11/10/2025,10.9,delivered
82,12,28,Double Cream (300ml),dairy,3,1,2.5,09/10/2025,11/10/2025,10.9,delivered
83,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,19/10/2025,21/10/2025,23.4,delivered
83,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,19/10/2025,21/10/2025,23.4,delivered
83,12,28,Double Cream (300ml),dairy,3,2,2.5,19/10/2025,21/10/2025,23.4,delivered
84,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,29/10/2025,31/10/2025,12.5,delivered
84,12,28,Double Cream (300ml),dairy,3,1,2.5,29/10/2025,31/10/2025,12.5,delivered
85,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,02/11/2025,04/11/2025,52.1,delivered
85,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,02/11/2025,04/11/2025,52.1,delivered
85,12,28,Double Cream (300ml),dairy,3,3,2.5,02/11/2025,04/11/2025,52.1,delivered
85,12,54,Christmas Pudding,seasonal,6,4,8.5,02/11/2025,04/11/2025,52.1,delivered
86,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,06/11/2025,08/11/2025,10.3,delivered
86,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,06/11/2025,08/11/2025,10.3,delivered
86,12,28,Double Cream (300ml),dairy,3,1,2.5,06/11/2025,08/11/2025,10.3,delivered
87,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,10/11/2025,12/11/2025,15.6,delivered
87,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,10/11/2025,12/11/2025,15.6,delivered
87,12,28,Double Cream (300ml),dairy,3,2,2.5,10/11/2025,12/11/2025,15.6,delivered
88,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,15/11/2025,17/11/2025,15.9,delivered
88,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,15/11/2025,17/11/2025,15.9,delivered
88,12,28,Double Cream (300ml),dairy,3,1,2.5,15/11/2025,17/11/2025,15.9,delivered
89,12,28,Double Cream (300ml),dairy,3,1,2.5,24/11/2025,26/11/2025,15.3,delivered
89,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,24/11/2025,26/11/2025,15.3,delivered
89,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,24/11/2025,26/11/2025,15.3,delivered
90,12,28,Double Cream (300ml),dairy,3,2,2.5,29/11/2025,01/12/2025,13.4,delivered
90,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,29/11/2025,01/12/2025,13.4,delivered
91,12,28,Double Cream (300ml),dairy,3,1,2.5,05/12/2025,07/12/2025,15.9,delivered
91,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,05/12/2025,07/12/2025,15.9,delivered
91,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,05/12/2025,07/12/2025,15.9,delivered
92,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,11/12/2025,13/12/2025,13.4,delivered
92,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,11/12/2025,13/12/2025,13.4,delivered
93,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,15/12/2025,17/12/2025,10.3,delivered
93,12,28,Double Cream (300ml),dairy,3,3,2.5,15/12/2025,17/12/2025,10.3,delivered
94,12,3,Organic Carrots (1kg),vegetables,4,1,2.8,21/12/2025,23/12/2025,15.3,delivered
94,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,21/12/2025,23/12/2025,15.3,delivered
94,12,28,Double Cream (300ml),dairy,3,3,2.5,21/12/2025,23/12/2025,15.3,delivered
95,12,28,Double Cream (300ml),dairy,3,1,2.5,27/12/2025,29/12/2025,16.3,delivered
95,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,27/12/2025,29/12/2025,16.3,delivered
95,12,15,Conference Pears (4 pack),fruit,7,1,3.8,27/12/2025,29/12/2025,16.3,delivered
96,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,02/01/2026,04/01/2026,7.5,delivered
96,12,28,Double Cream (300ml),dairy,3,1,2.5,02/01/2026,04/01/2026,7.5,delivered
97,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,10/01/2026,12/01/2026,15,delivered
97,12,28,Double Cream (300ml),dairy,3,2,2.5,10/01/2026,12/01/2026,15,delivered
98,12,28,Double Cream (300ml),dairy,3,3,2.5,18/01/2026,20/01/2026,15.9,delivered
98,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,18/01/2026,20/01/2026,15.9,delivered
99,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,25/01/2026,27/01/2026,18.1,delivered
99,12,28,Double Cream (300ml),dairy,3,3,2.5,25/01/2026,27/01/2026,18.1,delivered
99,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,25/01/2026,27/01/2026,18.1,delivered
100,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,30/01/2026,01/02/2026,10.6,delivered
100,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,30/01/2026,01/02/2026,10.6,delivered
101,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,04/02/2026,06/02/2026,15.6,delivered
101,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,04/02/2026,06/02/2026,15.6,delivered
101,12,28,Double Cream (300ml),dairy,3,2,2.5,04/02/2026,06/02/2026,15.6,delivered
102,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,10/02/2026,12/02/2026,13.4,delivered
102,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,10/02/2026,12/02/2026,13.4,delivered
103,12,28,Double Cream (300ml),dairy,3,2,2.5,17/02/2026,19/02/2026,10,delivered
103,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,17/02/2026,19/02/2026,10,delivered
104,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,26/02/2026,28/02/2026,10,delivered
104,12,28,Double Cream (300ml),dairy,3,2,2.5,26/02/2026,28/02/2026,10,delivered
105,12,3,Organic Carrots (1kg),vegetables,4,3,2.8,05/03/2026,07/03/2026,15.9,delivered
105,12,28,Double Cream (300ml),dairy,3,1,2.5,05/03/2026,07/03/2026,15.9,delivered
105,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,05/03/2026,07/03/2026,15.9,delivered
106,12,28,Double Cream (300ml),dairy,3,1,2.5,09/03/2026,11/03/2026,7.5,delivered
106,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,09/03/2026,11/03/2026,7.5,delivered
107,12,3,Organic Carrots (1kg),vegetables,4,2,2.8,16/03/2026,18/03/2026,15.6,delivered
107,12,38,Cinnamon Rolls (4 pack),bakery,6,2,5,16/03/2026,18/03/2026,15.6,delivered
108,12,28,Double Cream (300ml),dairy,3,1,2.5,23/03/2026,25/03/2026,7.5,delivered
108,12,38,Cinnamon Rolls (4 pack),bakery,6,1,5,23/03/2026,25/03/2026,7.5,delivered
